strategy,ticker,entry_date,entry_price,entry_shares,entry_value,entry_commission,exit_date,exit_price,exit_value,exit_commission,holding_days,pnl_usd,pnl_pct,total_commissions,exit_reason
APPROACH_D,LLY,2022-10-20,320.92279052734375,1.869608571625822,600.0,1.6,2022-10-21,332.3331298828125,621.3328682641438,1.621332868264144,1,18.111535395879628,3.010561069793821,3.221332868264144,
APPROACH_D,GILD,2022-10-20,59.434505462646484,10.095145830347477,600.0,1.6,2022-10-21,60.898799896240234,614.782265845695,1.614782265845695,1,11.567483579849181,1.9227864993100368,3.2147822658456953,
APPROACH_D,PEP,2022-10-20,155.84432983398438,3.849995701731076,600.0,1.6,2022-10-24,161.497802734375,621.765846366357,1.621765846366357,4,18.544080519990644,3.0824601928175936,3.221765846366357,
APPROACH_D,TJX,2022-10-20,62.622222900390625,9.5812632035497,600.0,1.6,2022-10-24,66.2822036743164,635.0672391149145,1.6350672391149144,4,31.83217187579953,5.291251974035826,3.2350672391149145,
APPROACH_D,AMGN,2022-10-19,225.55516052246094,2.660103181014347,600.0,1.6,2022-10-24,237.48770141601562,631.7417899885286,1.6317417899885287,5,28.510048198540062,4.739037267044558,3.231741789988529,
APPROACH_D,DE,2022-10-20,350.7397155761719,1.7106702587540161,600.0,1.6,2022-10-24,370.2861022949219,633.4374224258701,1.63343742242587,4,30.20398500344413,5.020609209349091,3.23343742242587,
APPROACH_D,SBUX,2022-10-19,81.50137329101562,7.36183914174783,600.0,1.6,2022-10-26,79.98345947265625,588.825362638202,1.588825362638202,7,-14.363462724436204,-2.387543670950167,3.188825362638202,
APPROACH_D,EOG,2022-10-25,116.7740478515625,5.138127957700763,600.0,1.6,2022-10-27,118.87068939208984,610.7728125166603,1.6107728125166605,2,7.562039704143672,1.2569879827366475,3.2107728125166606,
APPROACH_D,OXY,2022-10-28,68.61426544189453,8.744537249445678,600.0,1.6,2022-10-31,69.34014129638672,606.3474484480802,1.6063474484480802,3,3.1411009996320445,0.5221245012686244,3.2063474484480805,
APPROACH_D,EOG,2022-10-28,118.26911163330078,5.073175842060348,600.0,1.6,2022-11-01,120.58688354492188,611.7584644694421,1.611758464469442,4,8.546706004972634,1.4206625673159299,3.211758464469442,
APPROACH_D,HAL,2022-10-28,33.68340301513672,17.812927029088204,600.0,1.6,2022-11-01,34.19872283935547,609.1793544254512,1.6091793544254511,4,5.970175071025665,0.9923828243061277,3.2091793544254514,
