strategy,ticker,entry_date,entry_price,entry_shares,entry_value,entry_commission,exit_date,exit_price,exit_value,exit_commission,holding_days,pnl_usd,pnl_pct,total_commissions
APPROACH_B,LLY,2022-02-14,227.36851501464844,3.5185170644601307,800.0,1.8,2022-02-25,243.0243682861328,855.0853868944017,1.8550853868944017,11,51.43030150750735,6.414355388813589,3.6550853868944015
APPROACH_B,NVDA,2022-02-14,114.2699966430664,7.000962838030693,800.0,1.8,2022-02-28,123.33999633789062,863.4987308044141,1.8634987308044142,14,59.835232073609745,7.462613129659484,3.663498730804414
APPROACH_B,AMD,2022-02-14,114.2699966430664,7.000962838030693,800.0,1.8,2022-02-28,123.33999633789062,863.4987308044141,1.8634987308044142,14,59.835232073609745,7.462613129659484,3.663498730804414
APPROACH_B,WMT,2022-02-14,42.466461181640625,18.838395706630276,800.0,1.8,2022-03-03,44.15940475463867,831.8923409371338,1.831892340937134,17,28.26044859619674,3.5246256667743503,3.631892340937134
APPROACH_B,CSCO,2022-02-14,47.51123809814453,16.838121506062006,799.9999999999999,1.8,2022-03-03,50.093170166015625,843.4748858792113,1.8434748858792114,17,39.83141099333227,4.967748939053664,3.643474885879211
APPROACH_B,CAT,2022-02-14,186.45843505859375,4.290500452546453,800.0,1.8,2022-03-08,195.8891143798828,840.4623338958112,1.840462333895811,22,36.82187156191537,4.592401042892913,3.640462333895811
APPROACH_B,MRK,2022-02-14,68.1928482055664,11.731435495822245,800.0,1.8,2022-03-14,69.97801971435547,820.9426244043386,1.8209426244043385,28,17.32168177993435,2.1603494362602085,3.6209426244043383
APPROACH_B,ORCL,2022-02-14,75.0527572631836,10.659168685764357,799.9999999999999,1.8,2022-03-15,76.62130737304688,816.7194402131069,1.8167194402131068,29,13.102720772893917,1.6341632293457122,3.6167194402131067
APPROACH_B,GOOGL,2022-03-15,128.31300354003906,6.2347539059076444,800.0,1.8,2022-03-18,135.1930694580078,842.8955178549577,1.8428955178549578,3,39.25262233710282,4.895562775892095,3.642895517854958
APPROACH_B,AAPL,2022-03-14,147.8563995361328,5.410655220266593,800.0,1.8,2022-03-22,165.72247314453125,896.6671644349482,1.8966671644349482,8,92.9704972705133,11.595222907272799,3.696667164434948
