strategy,ticker,entry_date,entry_price,entry_shares,entry_value,entry_commission,exit_date,exit_price,exit_value,exit_commission,holding_days,pnl_usd,pnl_pct,total_commissions
APPROACH_A,ADI,2022-02-14,143.96197509765625,4.167767214870396,600.0,1.6,2022-02-16,157.38772583007812,655.9554037376101,1.65595540373761,2,52.69944833387251,8.759881704433594,3.25595540373761
APPROACH_A,LLY,2022-02-14,227.36849975585938,2.6388879754418917,600.0,1.6,2022-02-25,243.02439880371094,641.3141637421077,1.6413141637421078,11,38.07284957836555,6.328598666616614,3.241314163742108
APPROACH_A,AMGN,2022-02-16,199.20228576660156,3.0120136307220857,600.0,1.6,2022-03-02,204.50755310058594,615.9795375245856,1.6159795375245856,14,12.763557987060949,2.1216020590194393,3.2159795375245857
APPROACH_A,PFE,2022-02-14,41.57594299316406,14.431422519957088,600.0,1.6,2022-03-17,45.28271484375,653.4939907608889,1.653493990760889,31,50.24049677012795,8.351146404609032,3.253493990760889
APPROACH_A,NVDA,2022-02-14,24.221433639526367,24.771448665238157,600.0,1.6,2022-03-18,26.407821655273438,654.1599984943705,1.6541599984943705,32,50.90583849587608,8.461741771255998,3.2541599984943703
APPROACH_A,SCHW,2022-02-14,83.4765853881836,7.18764426227875,600.0,1.6,2022-03-22,87.7198715209961,630.4992312257167,1.6304992312257167,36,27.268731994490963,4.532701461850226,3.230499231225717
APPROACH_A,INTC,2022-02-14,44.46500778198242,13.493756774807645,600.0,1.6,2022-03-24,48.240516662597656,650.9457985361482,1.6509457985361482,38,47.69485273761211,7.928000787502013,3.250945798536148
APPROACH_A,AAPL,2022-02-25,161.82533264160156,3.7077013234314453,600.0,1.6,2022-03-24,170.87619018554688,633.5578764938755,1.6335578764938754,27,30.32431861738155,5.040611472304113,3.2335578764938755
APPROACH_A,MSFT,2022-03-02,163.5039520263672,3.669636070345517,600.0,1.6,2022-03-24,170.87619018554688,627.0534310681035,1.6270534310681035,22,23.826377637035307,3.9605016019008157,3.2270534310681036
APPROACH_A,ORCL,2022-02-14,75.05274963378906,7.994377326981735,600.0,1.6,2022-03-28,79.47320556640625,635.3387926826367,1.6353387926826368,42,32.10345388995404,5.336345393941828,3.235338792682637
APPROACH_A,QCOM,2022-02-14,113.09895324707031,5.305088886979086,600.0,1.6,2022-03-29,114.65445709228516,608.2520861629024,1.6082520861629024,43,5.043834076739472,0.8384032707346197,3.2082520861629025
APPROACH_A,IBM,2022-02-14,113.09895324707031,5.305088886979086,600.0,1.6,2022-03-29,114.65445709228516,608.2520861629024,1.6082520861629024,43,5.043834076739472,0.8384032707346197,3.2082520861629025
APPROACH_A,GILD,2022-02-14,52.93756103515625,11.334107357185106,600.0,1.6,2022-04-19,55.07744598388672,624.2536857409357,1.6242536857409355,64,21.029432055194775,3.4955837857704077,3.2242536857409356
APPROACH_A,TJX,2022-03-29,61.004390716552734,9.835357634957871,600.0,1.6,2022-04-20,63.347434997558594,623.0446784582354,1.6230446784582355,22,19.82163377977713,3.294819444776784,3.2230446784582356
APPROACH_A,ABT,2022-03-24,109.69456481933594,5.469733172178441,600.0,1.6,2022-04-21,115.31964111328125,630.7676664010272,1.6307676664010273,28,27.536898734626106,4.577277050303541,3.2307676664010274
APPROACH_A,GS,2022-03-22,50.254005432128906,11.93934682102776,600.0,1.6,2022-05-26,47.76069259643555,570.2314733213368,1.570231473321337,65,-32.93875815198453,-5.475192511965513,3.170231473321337
APPROACH_A,C,2022-03-22,50.254005432128906,11.93934682102776,600.0,1.6,2022-05-26,47.76069259643555,570.2314733213368,1.570231473321337,65,-32.93875815198453,-5.475192511965513,3.170231473321337
APPROACH_A,PPG,2022-03-29,126.33277893066406,4.749361211545116,600.0,1.6,2022-05-27,121.4423599243164,576.7736336630494,1.5767736336630493,59,-26.403139970613665,-4.388819808945091,3.1767736336630494
APPROACH_A,AMD,2022-02-14,114.2699966430664,5.25072212852302,600.0,1.6,2022-06-02,108.58999633789062,570.175896707596,1.570175896707596,108,-32.99427918911158,-5.484421407764558,3.170175896707596
APPROACH_A,ORCL,2022-05-27,69.4579849243164,8.638315676070631,600.0,1.6,2022-07-19,69.25096130371094,598.2116646128069,1.598211664612807,53,-4.986547051805928,-0.8288808264305068,3.198211664612807
APPROACH_A,AAPL,2022-06-02,148.65370178222656,4.036226429658528,599.9999999999999,1.6,2022-07-19,148.4472198486328,599.1665921623819,1.5991665921623819,47,-4.032574429780425,-0.6703082496310547,3.199166592162382
APPROACH_A,GOOG,2022-04-21,148.29600524902344,4.04596198658528,600.0,1.6,2022-07-20,122.7699966430664,496.72273951104916,1.4967227395110492,90,-106.3739832284619,-17.681845616433158,3.0967227395110495
APPROACH_A,AMZN,2022-05-26,111.07749938964844,5.401634023964311,600.0,1.6,2022-07-20,122.7699966430664,663.1585909891718,1.663158590989172,55,59.89543239818261,9.956022672570247,3.263158590989172
APPROACH_A,GOOGL,2022-05-26,111.07749938964844,5.401634023964311,600.0,1.6,2022-07-20,122.7699966430664,663.1585909891718,1.663158590989172,55,59.89543239818261,9.956022672570247,3.263158590989172
