Ticker,Trades,Total Profit,Avg Trade,Volatility,Sharpe,Win Rate %,Profit Factor,Max DD %,Avg Corr
6J VS FDAX,1115,228117.36,204.5895605381166,2428.762846126033,1.3372069625173155,53.00448430493273,1.297776067925684,-14.267231251160167,0.2636329594334185
6S DEC25 VS FDAX,1092,204041.83999999994,186.85150183150176,2124.2271045359057,1.396355234022184,55.952380952380956,1.3219516062059289,-14.629181603875354,0.24995427272750437
6J VS NQ,1337,171749.59999999995,128.458937920718,2068.8703956753284,0.9856694864951058,57.442034405385186,1.2081975550773822,-18.538628287696927,0.4517729150050703
6A DEC25 VS NQ,1380,159191.75999999992,115.3563478260869,1987.6943831200388,0.9212810915773287,56.15942028985508,1.1909281960563705,-25.57353355250743,0.490472539319675
NG NOV25 VS NQ,1423,149987.67999999993,105.40244553759658,2170.960799253944,0.7707241657233355,56.921995783555865,1.1812095051080873,-25.09631573760977,0.4649301640323147
10Y TRASURY VS NQ,621,121858.35999999997,196.22924315619963,2144.314981733154,1.4526982699065112,58.132045088566834,1.3236489479806859,-13.087369560717207,0.31899488768091133
6J VS ES,1334,98086.97999999994,73.52847076461765,1249.9319907308493,0.9338334375087703,58.02098950524738,1.196896688986594,-17.91982042308623,0.4662663140234108
6E VS NQ,943,97658.51999999996,103.56152704135732,1825.525975331427,0.9005559481971571,57.37009544008483,1.1784124203526092,-22.134425556998387,0.3337722161755536
NG NOV25 VS ES,1420,86564.53999999994,60.96094366197178,1309.6376848355285,0.7389257280160743,56.901408450704224,1.1726106129540819,-23.350033697236633,0.48029274577441694
NG NOV25 VS ETH,650,76400.0,117.53846153846153,2253.4917560698013,0.8279884882070998,48.92307692307693,1.191071651869451,-30.985915492957744,-0.182287220433197
6A DEC25 VS ES,1378,74343.33999999994,53.95017416545714,1200.2096169508495,0.713569073340961,55.950653120464445,1.1459449179076104,-42.46201275980968,0.5087977699656497
NG NOV25 VS YM,1423,58157.68000000001,40.86976809557274,911.8503857348194,0.711506476589112,55.165144061841175,1.1584649776794154,-23.280053835727404,0.466159731003313
6A DEC25 VS YM,1380,46916.759999999995,33.99765217391304,867.1197496401157,0.6224007665578859,54.565217391304344,1.1247465943051,-60.800512233020385,0.485007343059913
6B VS YM,1197,42464.32,35.4756223893066,1003.5647378925809,0.5611576666858943,54.469507101086045,1.1163260062162061,-43.11916441732235,0.5080157540121969
6A DEC25 VS RTY,1380,32641.760000000002,23.65344927536232,675.579615863609,0.5557995797563318,54.927536231884055,1.108337818401089,-56.174802165273654,0.4277716138074801
6J VS FSTX,1648,11030.0,6.692961165048544,202.29519884250007,0.5252100162135336,52.12378640776699,1.0991638946327429,-36.07266435986159,0.31589213796114296
