Ticker,Total Trades,Total Profit,Avg Trade,Win Rate %,Profit Factor,Sharpe Ratio,Max DD %,Std Dev,Avg Corr
BTC,648,323208.840000001,498.7790740740741,40.74074074074074,1.4345879637916379,1.8217138250673957,-13.580120538380298,4346.386477407042,0.029644820695768476
FDAX,1140,227832.20000000144,199.85280701754377,50.175438596491226,1.2205090161891137,1.243283729106387,-19.794868302168762,2551.762628953504,0.08066416757019133
NQ,824,136075.0,165.13956310679612,43.082524271844655,1.311153032641628,1.953031495307142,-14.75449938843264,1342.2770190290084,0.09005477840712471
ES,1322,120721.04000000579,91.31697428139181,32.677760968229954,1.2715882692516223,1.6467764154427929,-17.717051158356433,880.2725208903876,0.08416459989121922
GC,952,108723.76000000024,114.2056302521009,51.99579831932773,1.2958334099738125,1.4407226823017902,-15.385964300655377,1258.3672056347623,0.0015370278575738115
FESX,479,20689.379999999936,43.19286012526098,55.94989561586638,1.4364150205515658,2.0834490847893594,-13.958182837004784,329.10110587106306,0.083159649346831
NG,857,20535.159999999778,23.961680280046686,45.6242707117853,1.190031419023464,1.2353351220424276,-21.512737150757996,307.91635023585144,-0.005069419411400258
