Ticker,Period,Net profit
BTC,2021-02-18 16:15:00,-2515.92
BTC,2021-02-19 16:15:00,13059.08
BTC,2021-02-22 15:30:00,-2515.92
BTC,2021-02-22 15:45:00,-2515.92
BTC,2021-02-23 16:00:00,-2515.92
BTC,2021-02-23 16:15:00,-2515.92
BTC,2021-03-01 16:00:00,-2515.92
BTC,2021-03-02 15:45:00,-2515.92
BTC,2021-03-19 16:00:00,-2515.92
BTC,2021-03-25 16:15:00,-2515.92
BTC,2021-04-01 15:30:00,-2515.92
BTC,2021-04-06 15:30:00,3909.08
BTC,2021-04-08 15:30:00,3634.08
BTC,2021-04-19 15:30:00,3359.08
BTC,2021-04-22 16:15:00,-2515.92
BTC,2021-04-23 15:30:00,-2515.92
BTC,2021-04-26 16:00:00,-2515.92
BTC,2021-04-29 15:45:00,1834.08
BTC,2021-04-30 16:00:00,6959.08
BTC,2021-05-04 16:15:00,11634.08
BTC,2021-05-05 16:00:00,-2515.92
BTC,2021-05-12 15:45:00,-2515.92
BTC,2021-05-12 16:15:00,-2515.92
BTC,2021-05-18 15:30:00,4659.08
BTC,2021-05-19 15:30:00,-2515.92
BTC,2021-05-24 15:45:00,-2515.92
BTC,2021-05-25 16:00:00,-2515.92
BTC,2021-05-27 15:45:00,-2515.92
BTC,2021-06-01 15:30:00,-2515.92
BTC,2021-06-01 16:00:00,-2515.92
BTC,2021-06-02 16:00:00,159.08
BTC,2021-06-03 15:30:00,-2515.92
BTC,2021-06-07 16:00:00,14684.08
BTC,2021-06-14 15:45:00,-2515.92
BTC,2021-06-15 15:30:00,-2515.92
BTC,2021-06-18 15:45:00,8359.08
BTC,2021-06-21 15:30:00,-2515.92
BTC,2021-06-23 15:45:00,-2515.92
BTC,2021-06-28 15:30:00,-2515.92
BTC,2021-06-29 15:45:00,-2515.92
BTC,2021-07-01 16:15:00,-840.92
BTC,2021-07-08 15:30:00,-2515.92
BTC,2021-07-09 16:00:00,809.08
BTC,2021-07-19 16:15:00,-1440.92
BTC,2021-07-20 16:00:00,-2515.92
BTC,2021-07-23 15:30:00,359.08
BTC,2021-07-27 16:15:00,-2515.92
BTC,2021-08-04 15:30:00,4609.08
BTC,2021-08-06 15:45:00,9109.08
BTC,2021-08-11 15:45:00,-2515.92
BTC,2021-08-17 15:45:00,9534.08
BTC,2021-08-20 15:30:00,7734.08
BTC,2021-08-24 16:00:00,4234.08
BTC,2021-08-27 15:45:00,-2515.92
BTC,2021-08-31 16:00:00,-2515.92
BTC,2021-09-07 16:15:00,24984.08
BTC,2021-09-08 15:30:00,1209.08
BTC,2021-09-09 15:30:00,-2515.92
BTC,2021-09-13 16:00:00,-2515.92
BTC,2021-09-21 15:45:00,12234.08
BTC,2021-09-23 16:00:00,3959.08
BTC,2021-10-06 15:30:00,-2515.92
BTC,2021-10-07 16:00:00,-2515.92
BTC,2021-10-08 16:15:00,-2515.92
BTC,2021-10-11 15:45:00,2684.08
BTC,2021-10-12 15:45:00,-2515.92
BTC,2021-10-15 15:45:00,14134.08
BTC,2021-10-18 16:00:00,2859.08
BTC,2021-10-19 16:00:00,-2515.92
BTC,2021-10-20 16:15:00,-2515.92
BTC,2021-10-28 16:00:00,-2515.92
BTC,2021-11-03 15:30:00,-2515.92
BTC,2021-11-04 16:00:00,3959.08
BTC,2021-11-05 16:00:00,2809.08
BTC,2021-11-10 15:30:00,-2515.92
BTC,2021-11-10 15:45:00,-2515.92
BTC,2021-11-12 16:00:00,-2515.92
BTC,2021-11-17 16:15:00,-2515.92
BTC,2021-11-24 15:30:00,-2515.92
BTC,2021-11-29 16:15:00,-2515.92
BTC,2021-12-01 15:45:00,-2515.92
BTC,2021-12-03 15:30:00,24984.08
BTC,2021-12-07 16:00:00,-2515.92
BTC,2021-12-08 15:45:00,1159.08
BTC,2021-12-09 16:00:00,6784.08
BTC,2021-12-13 15:45:00,6109.08
BTC,2021-12-14 15:45:00,-2515.92
BTC,2021-12-15 16:15:00,-2515.92
BTC,2021-12-17 15:30:00,-2515.92
BTC,2021-12-22 16:15:00,-1365.92
BTC,2021-12-23 15:30:00,-2515.92
BTC,2021-12-30 15:30:00,-2515.92
BTC,2022-01-03 15:30:00,2809.08
BTC,2022-01-04 16:15:00,-2515.92
BTC,2022-01-10 15:30:00,-2515.92
BTC,2022-01-11 16:00:00,-2515.92
BTC,2022-01-13 15:45:00,-2515.92
BTC,2022-01-19 16:15:00,-2515.92
BTC,2022-01-20 16:15:00,-2515.92
BTC,2022-01-26 15:30:00,-2515.92
BTC,2022-01-28 15:45:00,3559.08
BTC,2022-02-02 16:15:00,4484.08
BTC,2022-02-04 16:00:00,14134.08
BTC,2022-02-07 16:15:00,2159.08
BTC,2022-02-09 16:15:00,1234.08
BTC,2022-02-10 15:45:00,-2515.92
BTC,2022-02-28 15:45:00,21359.08
BTC,2022-03-02 15:45:00,984.08
BTC,2022-03-03 16:15:00,5159.08
BTC,2022-03-07 16:15:00,-2515.92
BTC,2022-03-09 15:45:00,-790.92
BTC,2022-03-14 15:45:00,-2515.92
BTC,2022-03-15 16:00:00,1259.08
BTC,2022-03-16 15:45:00,-2515.92
BTC,2022-03-17 15:30:00,-840.92
BTC,2022-03-18 15:30:00,5634.08
BTC,2022-03-21 15:30:00,-265.92
BTC,2022-03-23 15:45:00,3434.08
BTC,2022-03-28 15:45:00,-1165.92
BTC,2022-03-30 15:45:00,-2515.92
BTC,2022-03-31 15:45:00,8984.08
BTC,2022-04-06 16:15:00,4684.08
BTC,2022-04-07 15:30:00,234.08
BTC,2022-04-08 15:30:00,-2515.92
BTC,2022-04-11 15:45:00,7084.08
BTC,2022-04-13 16:15:00,3109.08
BTC,2022-04-14 15:30:00,-2515.92
BTC,2022-04-19 16:15:00,34.08
BTC,2022-04-25 15:30:00,-2515.92
BTC,2022-04-27 16:15:00,-2515.92
BTC,2022-05-03 15:45:00,3534.08
BTC,2022-05-06 15:30:00,-1065.92
BTC,2022-05-09 15:30:00,-2515.92
BTC,2022-05-10 16:15:00,4109.08
BTC,2022-05-11 15:30:00,-2515.92
BTC,2022-05-18 15:30:00,4634.08
BTC,2022-05-26 15:45:00,-2515.92
BTC,2022-05-31 15:45:00,-2515.92
BTC,2022-06-02 15:45:00,-2515.92
BTC,2022-06-08 16:15:00,-2515.92
BTC,2022-06-10 16:00:00,1534.08
BTC,2022-06-13 15:30:00,-2515.92
BTC,2022-06-17 15:30:00,-215.92
BTC,2022-06-21 16:15:00,-2515.92
BTC,2022-06-23 16:15:00,-2515.92
BTC,2022-06-27 16:15:00,184.08
BTC,2022-06-30 16:15:00,-2515.92
BTC,2022-07-07 16:15:00,5459.08
BTC,2022-07-11 16:15:00,1834.08
BTC,2022-07-15 15:30:00,-15.92
BTC,2022-07-18 15:30:00,-2515.92
BTC,2022-07-27 15:45:00,-2515.92
BTC,2022-07-29 16:15:00,1159.08
BTC,2022-08-01 15:30:00,-1215.92
BTC,2022-08-08 16:15:00,-2515.92
BTC,2022-08-10 15:30:00,9.08
BTC,2022-08-17 16:15:00,484.08
BTC,2022-08-18 16:00:00,1559.08
BTC,2022-08-19 16:15:00,684.08
BTC,2022-08-26 15:45:00,-2515.92
BTC,2022-09-02 15:45:00,-2515.92
BTC,2022-09-06 15:30:00,5659.08
BTC,2022-09-08 16:15:00,634.08
BTC,2022-09-13 15:30:00,6159.08
BTC,2022-09-16 15:30:00,9.08
BTC,2022-09-20 15:45:00,-65.92
BTC,2022-09-22 16:15:00,-2515.92
BTC,2022-09-23 16:15:00,-1265.92
BTC,2022-09-26 15:30:00,709.08
BTC,2022-09-29 16:15:00,-2515.92
BTC,2022-09-30 16:15:00,-415.92
BTC,2022-10-06 15:30:00,984.08
BTC,2022-10-07 16:15:00,434.08
BTC,2022-10-10 16:15:00,1009.08
BTC,2022-10-11 15:30:00,359.08
BTC,2022-10-14 15:30:00,-2515.92
