Ticker,Period,Net profit
ES,2021-03-05 15:40:00,2131.74
ES,2021-05-13 15:40:00,1219.24
ES,2021-05-20 15:40:00,1306.74
ES,2021-06-18 15:40:00,-1768.26
ES,2021-06-21 15:40:00,2656.74
ES,2021-07-08 15:40:00,556.74
ES,2021-07-20 15:40:00,2906.74
ES,2021-07-30 15:40:00,256.74
ES,2021-09-13 15:40:00,-493.26
ES,2021-09-21 15:40:00,-1405.76
ES,2021-11-24 15:40:00,1831.74
ES,2021-12-21 15:40:00,2281.74
ES,2022-01-07 15:40:00,-605.76
ES,2022-01-10 15:40:00,1919.24
ES,2022-01-11 15:40:00,2931.74
ES,2022-01-20 15:40:00,-4680.76
ES,2022-01-21 15:40:00,-4468.26
ES,2022-01-24 15:40:00,4094.24
ES,2022-01-25 15:40:00,-1368.26
ES,2022-01-28 15:40:00,5794.24
ES,2022-02-22 15:40:00,-93.26
ES,2022-03-08 15:40:00,-2055.76
ES,2022-03-15 14:40:00,2406.74
ES,2022-04-13 15:40:00,1919.24
ES,2022-04-25 15:40:00,3231.74
ES,2022-04-26 15:40:00,-5868.26
ES,2022-05-10 15:40:00,-3055.76
ES,2022-05-11 15:40:00,-1655.76
ES,2022-06-13 15:40:00,-2830.76
ES,2022-06-14 15:40:00,-1330.76
ES,2022-06-16 15:40:00,-918.26
ES,2022-06-30 15:40:00,406.74
ES,2022-07-01 15:40:00,2106.74
ES,2022-07-13 15:40:00,1044.24
ES,2022-07-14 15:40:00,2456.74
ES,2022-08-09 15:40:00,-55.76
ES,2022-08-24 15:40:00,1369.24
ES,2022-08-31 15:40:00,-1530.76
ES,2022-09-01 15:40:00,2156.74
ES,2022-09-20 15:40:00,-155.76
ES,2022-09-23 15:40:00,-868.26
ES,2022-09-26 15:40:00,-1930.76
ES,2022-09-27 15:40:00,-2743.26
ES,2022-10-10 15:40:00,-1443.26
ES,2022-10-11 15:40:00,369.24
ES,2022-10-12 15:40:00,69.24
ES,2022-10-13 15:40:00,8019.24
ES,2022-11-03 14:40:00,-293.26
ES,2022-11-30 15:40:00,6219.24
ES,2022-12-07 15:40:00,-605.76
ES,2022-12-19 15:40:00,-1618.26
ES,2022-12-20 15:40:00,844.24
ES,2023-01-19 15:40:00,-330.76
ES,2023-01-20 15:40:00,3594.24
ES,2023-02-21 15:40:00,-2255.76
ES,2023-02-22 15:40:00,-93.26
ES,2023-02-24 15:40:00,231.74
ES,2023-04-13 15:40:00,1894.24
ES,2023-05-04 15:40:00,-1118.26
ES,2023-06-21 15:40:00,-293.26
ES,2023-06-22 15:40:00,1481.74
ES,2023-06-23 15:40:00,-105.76
ES,2023-07-07 15:40:00,-243.26
ES,2023-07-10 15:40:00,281.74
ES,2023-08-07 15:40:00,781.74
ES,2023-08-11 15:40:00,881.74
ES,2023-08-18 15:40:00,881.74
ES,2023-09-07 15:40:00,719.24
ES,2023-09-08 15:40:00,-55.76
ES,2023-09-22 15:40:00,-843.26
ES,2023-09-25 15:40:00,1869.24
ES,2023-09-26 15:40:00,-1518.26
ES,2023-10-04 15:40:00,706.74
ES,2023-10-23 15:40:00,1119.24
ES,2024-01-03 15:40:00,-630.76
ES,2024-01-04 15:40:00,-668.26
ES,2024-01-05 15:40:00,-43.26
ES,2024-01-18 15:40:00,1106.74
ES,2024-04-18 15:40:00,-843.26
ES,2024-04-19 15:40:00,-2143.26
ES,2024-04-22 15:40:00,1231.74
ES,2024-05-31 15:40:00,2094.24
ES,2024-06-11 15:40:00,1669.24
ES,2024-06-25 15:40:00,619.24
ES,2024-07-22 15:40:00,856.74
ES,2024-08-06 15:40:00,556.74
ES,2024-09-04 15:40:00,-368.26
ES,2024-09-05 15:40:00,-755.76
ES,2024-10-24 15:40:00,219.24
ES,2024-11-19 15:40:00,2531.74
ES,2024-12-20 15:40:00,4194.24
ES,2024-12-31 15:40:00,-1805.76
ES,2025-02-25 15:40:00,-1193.26
ES,2025-02-26 15:40:00,506.74
ES,2025-03-06 15:40:00,-418.26
ES,2025-03-31 15:40:00,4606.74
ES,2025-04-09 15:40:00,25556.74
ES,2025-04-21 15:40:00,-3368.26
ES,2025-05-23 15:40:00,869.24
ES,2025-08-01 15:40:00,-1380.76
ES,2025-08-04 15:40:00,2694.24
ES,2025-08-20 15:40:00,-368.26
ES,2025-08-21 15:40:00,-43.26
ES,2025-08-22 15:40:00,3869.24
ES,2025-11-19 15:40:00,2344.24
NQ,2019-05-02 16:00:00,-710.68
NQ,2019-05-06 16:00:00,-105.68
NQ,2019-05-09 16:00:00,1244.32
NQ,2019-05-10 16:00:00,714.32
NQ,2019-05-13 16:00:00,-2325.68
NQ,2019-05-31 16:00:00,-160.68
NQ,2019-08-01 16:00:00,-2590.68
NQ,2019-08-02 16:00:00,-720.68
NQ,2019-08-05 16:00:00,-2520.68
NQ,2019-08-06 16:00:00,24.32
NQ,2019-12-03 16:00:00,1074.32
NQ,2019-12-04 16:00:00,-85.68
