date,strategy_return,benchmark_return,signal_date,entry_date,strategy_equity,benchmark_equity
2024-05-14,0.005043193476323288,0.004588134306342306,2024-05-10,2024-05-13,1.0050431934763233,1.0045881343063423
2024-05-15,0.017918839920918916,0.012382907595902548,2024-05-10,2024-05-13,1.0230524015738347,1.0170278563453978
2024-05-16,-0.001431873553706886,-0.0020574269229312048,2024-05-10,2024-05-13,1.0215875198959647,1.014935395852382
2024-05-17,-0.009961899048010148,0.0014376336953807467,2024-05-10,2024-05-13,1.0114105681540542,1.016394501176094
2024-05-20,0.01244063863260203,0.0011520457077323076,2024-05-10,2024-05-13,1.0239931615416535,1.0175654340985367
2024-05-21,0.003196924097194964,0.002452651928423144,2024-05-10,2024-05-13,1.0272667899551489,1.0200611679227751
2024-05-22,-0.0022854441516518276,-0.0028794097727675716,2024-05-10,2024-05-13,1.0249190290778598,1.0171239938270376
2024-05-23,0.046598208046329304,-0.00730415463251366,2024-05-10,2024-05-13,1.072678419225472,1.009694762895685
2024-05-24,0.01286139995160862,0.006616271582376543,2024-05-10,2024-05-13,1.0864745653945902,1.016375177662306
2024-05-28,0.03490211500702467,0.0006989635288412455,2024-05-10,2024-05-13,1.1243948256281993,1.0170855868431115
2024-05-29,0.0040561468140035695,-0.007002690056326477,2024-05-10,2024-05-13,1.1289555361178532,1.0099632517176922
2024-05-30,-0.01883295229650228,-0.006633586180588291,2024-05-10,2024-05-13,1.1076939703612734,1.0032635734481956
2024-05-31,-0.003923099837460919,0.009108076740431903,2024-05-10,2024-05-13,1.1033483763261926,1.0124013750660417
2024-06-03,0.02447706095206481,0.000815398053666927,2024-05-10,2024-05-13,1.1303551017848905,1.0132268851768003
2024-06-04,0.006247819001900967,0.00111774169742751,2024-05-10,2024-05-13,1.137417355868718,1.014359411115317
2024-06-05,0.025778008172938294,0.01188504989316641,2024-05-10,2024-05-13,1.1667377097643434,1.0264151233260252
2024-06-06,-0.0058886532331683394,-1.8592350896406984e-05,2024-05-10,2024-05-13,1.1598671959774802,1.026396039855887
2024-06-07,-0.00045455964967677787,-0.0012154244543072235,2024-05-10,2024-05-13,1.159339967151205,1.025148533009242
2024-06-10,0.0037306861319030826,0.003089792235443811,2024-05-10,2024-05-13,1.163665100688817,1.0283160289867106
2024-06-11,-0.0035719313482159842,0.00240810239150524,2024-05-10,2024-05-13,1.1595085688368416,1.0307923192753368
2024-06-12,0.017740407223887922,0.008213079681904878,2024-05-10,2024-05-13,1.1800787230275946,1.0392582987290406
2024-06-13,0.01761182346017831,0.002013301672693091,2024-05-10,2024-05-13,1.2008620611666694,1.041350639200232
2024-06-14,0.00875709818119541,0.000608551251541023,2024-05-10,2024-05-13,1.2113781281383784,1.0419843544350105
2024-06-17,-0.0034121941402681655,0.007958649211253555,2024-05-10,2024-05-13,1.2072446707878957,1.0502771423955732
2024-06-18,0.017559855049710582,0.002541048631666598,2024-05-10,2024-05-13,1.2284437122164666,1.0529459476911283
2024-06-20,-0.017701716276203983,-0.00271664481541789,2024-05-10,2024-05-13,1.206698150161524,1.050085467541418
2024-06-21,-0.0160957289456915,-0.0013408204092730802,2024-05-10,2024-05-13,1.1872754638172567,1.0486774915150574
2024-06-24,-0.0334202519909344,-0.003250513025056634,2024-05-10,2024-05-13,1.1475964186338306,1.045268751669804
