date,strategy_return,benchmark_return,signal_date,entry_date,universe_equal_weight_return,strategy_equity,benchmark_equity,universe_equal_weight_equity
2023-01-05,0.0,-0.011413323263957609,2023-01-03,2023-01-04,-0.02025067457558131,1.0,0.9885866767360424,0.9797493254244187
2023-01-06,0.0,0.022932346410464044,2023-01-03,2023-01-04,0.027219942362720295,1.0,1.0112572888637228,1.0064180455923857
2023-01-09,0.0,-0.0005670697129895874,2023-01-03,2023-01-04,0.014000614163979222,1.0,1.0106838354831682,1.0205085163363907
2023-01-10,0.0,0.0070125743731772605,2023-01-03,2023-01-04,0.015086327567786125,1.0,1.017771331047262,1.035904242099557
2023-01-11,0.0,0.012648187324622695,2023-01-03,2023-01-04,0.02492083829396602,1.0,1.0306442934959783,1.0617198442049536
2023-01-12,0.0,0.0036406434666091947,2023-01-03,2023-01-04,0.011545437532669622,1.0,1.0343965019094925,1.0739778643434175
2023-01-13,0.0,0.0038796489245718213,2023-01-03,2023-01-04,0.013231782323731492,1.0,1.0384095971857066,1.0881885056649157
2023-01-17,0.0,-0.0018319128127091133,2023-01-03,2023-01-04,0.0031703842114678507,1.0,1.036507321339782,1.0916384813223765
2023-01-18,0.0,-0.01578798973776263,2023-01-03,2023-01-04,-0.011318405966835624,1.0,1.0201429543873537,1.07928287382175
2023-01-19,0.0,-0.007280048281578799,2023-01-03,2023-01-04,-0.004194112811815753,1.0,1.0127162644253014,1.0747562396930808
2023-01-20,0.0,0.018629248933248688,2023-01-03,2023-01-04,0.039032922786313096,1.0,1.03158240781403,1.116707117011129
2023-01-23,0.0,0.011998461533636817,2023-01-03,2023-01-04,0.026340438221987655,1.0,1.0439598096529632,1.1461216718388145
2023-01-24,0.0,-0.0010730259132102349,2023-01-03,2023-01-04,-0.003761331602125569,1.0,1.0428396137248555,1.1418107281746461
2023-01-25,0.0,0.00037457840043653157,2023-01-03,2023-01-04,-0.005918470168989591,1.0,1.0432302389192765,1.1350529554413122
2023-01-26,0.0,0.010990304206938584,2023-01-03,2023-01-04,0.026073655164599363,1.0,1.0546956566028765,1.1646479347950482
2023-01-27,0.0,0.002297789780274284,2023-01-03,2023-01-04,0.020385273961930944,1.0,1.0571191255039183,1.1883896020150424
2023-01-30,0.0,-0.012546840152870331,2023-01-03,2023-01-04,-0.028822949746323268,1.0,1.0438556208136787,1.1541367082371097
2023-01-31,0.0,0.014703448067601599,2023-01-03,2023-01-04,0.017975011293848264,1.0,1.0592038977243867,1.1748823286023167
2023-02-01,0.01367894306525938,0.010627674353747896,2023-01-03,2023-01-04,0.027222098890683537,1.0136789430652593,1.070460771823622,1.2068650915364454
2023-02-02,0.11641199485453868,0.014557159043154133,2023-01-03,2023-01-04,0.0833221583231631,1.1316833309695264,1.086043639528516,1.3074236957681438
2023-02-03,-0.005933081507853877,-0.010629230494612396,2023-01-03,2023-01-04,-0.025154696638111707,1.1249689615258047,1.0744998313567597,1.2745358493236172
2023-02-06,-0.0012598885981957575,-0.006111263283659851,2023-01-03,2023-01-04,-0.009455256857848112,1.1235516259578542,1.0679332799890904,1.262484785493727
2023-02-07,0.014941418422036667,0.013078325787876599,2023-01-03,2023-01-04,0.03132162253514048,1.1403390809200502,1.0819000593445034,1.302027857401319
2023-02-08,-0.021370397184577783,-0.010934539210825767,2023-01-03,2023-01-04,-0.026509439381853146,1.1159695818356923,1.0700699807234062,1.2675118288420548
2023-02-09,-0.015019408238006626,-0.008669251216885887,2023-01-03,2023-01-04,-0.017438823556803595,1.0992083791049045,1.0607932752408669,1.2454079137027168
2023-02-10,-0.010594652744392197,0.0023337688231663822,2023-01-03,2023-01-04,-0.01329027715842753,1.087562648034562,1.0632689215144486,1.2288560973543086
2023-02-13,0.015159312860824836,0.011738962155817934,2023-01-03,2023-01-04,0.020859655146841887,1.1040493504718651,1.0757505951455641,1.2544896117702133
