date,strategy_return,benchmark_return,signal_date,entry_date,universe_equal_weight_return,strategy_equity,benchmark_equity,universe_equal_weight_equity
2023-01-05,-0.0019379922002577819,-0.011413240311060058,2023-01-03,2023-01-04,-0.02025065299095506,0.9980620077997422,0.9885867596889399,0.9797493470090449
2023-01-06,0.01213170390838103,0.0229320088438405,2023-01-03,2023-01-04,0.02721988960423934,1.010170200560573,1.0112570400050302,1.0064180160744567
2023-01-09,-0.002115110005236176,-0.0005668237640740204,2023-01-03,2023-01-04,0.014000631583309978,1.008033579462376,1.0106838354831682,1.0205085039363209
2023-01-10,0.01359397297359577,0.007012820601210112,2023-01-03,2023-01-04,0.015086415820386981,1.0217367606980645,1.0177715799059546,1.035904319574945
2023-01-11,-0.00037610852277525364,0.012647858214232865,2023-01-03,2023-01-04,0.024920752836770272,1.0213524767943332,1.0306442105430809,1.061719835085615
2023-01-12,0.01437301135886937,0.003640724246085414,2023-01-03,2023-01-04,0.011545516569158329,1.0360323875447075,1.0343965019094927,1.0739779390333999
2023-01-13,0.0009873823170204465,0.0038797291190595384,2023-01-03,2023-01-04,0.013231752165901408,1.0370553476040298,1.0384096801386042,1.0881885489543353
2023-01-17,-0.005913235349921664,-0.0018319925509248103,2023-01-03,2023-01-04,0.003170439979065428,1.0309229952627526,1.0365073213397822,1.0916385854347013
2023-01-18,-0.008643663780503297,-0.01578806976893643,2023-01-03,2023-01-04,-0.01131840774985752,1.022012043508112,1.0201428714344563,1.0792829748092736
2023-01-19,0.011765178526010112,-0.007279723613634492,2023-01-03,2023-01-04,-0.00419411817067028,1.034036197655717,1.012716513283994,1.0747563344733309
2023-01-20,0.011825204097342334,0.01862899862159706,2023-01-03,2023-01-04,0.03903290977328359,1.0462638867370357,1.03158240781403,1.1167072015050934
2023-01-23,0.01399157242806015,0.011998541946890207,2023-01-03,2023-01-04,0.026340450338372512,1.0609027636871806,1.0439598926058606,1.1461217720888415
2023-01-24,-0.0004537777331722337,-0.0010733436673517893,2023-01-03,2023-01-04,-0.003761397645666409,1.0604213496359585,1.042839364866163,1.1418107523536596
2023-01-25,-0.005728594788445784,0.0003748171255153476,2023-01-03,2023-01-04,-0.005918448974535621,1.0543466254188774,1.0432302389192762,1.1350530036772783
2023-01-26,0.02049463658792683,0.010990463237791737,2023-01-03,2023-01-04,0.026073718014348508,1.0759550763445442,1.0546958225086713,1.1646480556264989
2023-01-27,0.015071223069427764,0.002297553465780533,2023-01-03,2023-01-04,0.020385161891778674,1.092171035312816,1.0571190425510204,1.1883895947873904
2023-01-30,-0.0154210499645282,-0.012546684195980373,2023-01-03,2023-01-04,-0.028822922056678617,1.0753286112074465,1.0438557037665757,1.1541367341238655
2023-01-31,0.006493942441455514,0.014703129028023287,2023-01-03,2023-01-04,0.017974987181040587,1.0823117333142778,1.0592036488656937,1.17488232712491
2023-02-01,0.013928994681466023,0.01062799011585791,2023-01-03,2023-01-04,0.027222169250770773,1.0973872476913007,1.0704608547765189,1.206865172683644
2023-02-02,0.11641193294550212,0.01455692543699283,2023-01-03,2023-01-04,0.08332207882491531,1.2251362183847894,1.0860434736227202,1.3074236877330356
2023-02-03,-0.005933122241373323,-0.010629079356699322,2023-01-03,2023-01-04,-0.025154675745483357,1.2178673354387786,1.0744998313567589,1.274535868806147
2023-02-06,-0.001259888702067724,-0.006111417686471499,2023-01-03,2023-01-04,-0.009455210092597513,1.216332958142242,1.0679331140832946,1.2624848643960336
2023-02-07,0.014941460983811217,0.013078560847974652,2023-01-03,2023-01-04,0.03132160655230202,1.234506749579648,1.0819001422974,1.3020279185968826
2023-02-08,-0.021370397184577783,-0.010934615045778195,2023-01-03,2023-01-04,-0.026509396384574873,1.2081248500140889,1.0700699807234053,1.2675119443990148
2023-02-09,-0.015019324399314637,-0.008669173695883603,2023-01-03,2023-01-04,-0.017438866689944193,1.189979630976854,1.0607933581937632,1.2454079725727285
2023-02-10,-0.0105946941304354,0.002333534043900798,2023-01-03,2023-01-04,-0.013290254593082917,1.177372160765206,1.0632687556086522,1.2288561835449818
2023-02-13,0.015159311522162877,0.01173904200435949,2023-01-03,2023-01-04,0.02085966030339544,1.1952203121277676,1.0757505121926652,1.2544897060954572
2023-02-14,0.0001394035755367673,-0.00046012521852478727,2023-01-03,2023-01-04,0.00930500941792182,1.1953869301128326,1.0752555322531643,1.2661627446253614
2023-02-15,-0.00646308707120391,0.0032473548943152686,2023-01-03,2023-01-04,0.003747787128208132,1.1876610402997343,1.0787472685684663,1.270908053061885
2023-02-16,-0.013321360487717093,-0.013768793252403877,2023-01-03,2023-01-04,-0.023612478807466326,1.1718397794446844,1.0638942204559516,1.240898763592723
2023-02-17,0.001275792082678029,-0.0024982688488462967,2023-01-03,2023-01-04,-0.011721286371742782,1.173334803357467,1.0612363266665188,1.2263538338263114
2023-02-21,-0.0023137183214734236,-0.020060829000315805,2023-01-03,2023-01-04,-0.02342548426022421,1.1706200371257165,1.0399470461883384,1.1976259013945476
2023-02-22,-0.0027894143011941708,-0.0013782049466852797,2023-01-03,2023-01-04,0.0014645309636343955,1.1673546928528935,1.038513786024991,1.1993798616099904
2023-02-23,0.002688142569559293,0.005319458670235866,2023-01-03,2023-01-04,0.02564388178275301,1.1704927086965262,1.044038117188221,1.2301366169937318
2023-02-24,-0.004795332949614928,-0.010682497061198948,2023-01-03,2023-01-04,-0.018155030841209913,1.1648798064432297,1.032885183069578,1.207803448773309
2023-02-27,-0.0024943744126663114,0.003405864016333471,2023-01-03,2023-01-04,0.004557759418660286,1.161974160060206,1.0364030495475987,1.213308326317846
2023-02-28,0.015925499466731163,-0.0036959713216253576,2023-01-03,2023-01-04,0.0034075712302093866,1.1804791789266005,1.0325725335988256,1.21744276086398
2023-03-01,-0.004344343040251608,-0.003835809949422786,2023-01-03,2023-01-04,-0.012734453815663719,1.1753507724214687,1.0286117816009466,1.2019392922525434
