date,strategy_return,benchmark_return,signal_date,entry_date,universe_equal_weight_return,strategy_equity,benchmark_equity,universe_equal_weight_equity
2023-01-05,-0.0019379920983545182,-0.011413404323305176,2023-01-03,2023-01-04,-0.02025071087037696,0.9980620079016455,0.9885865956766948,0.979749289129623
2023-01-06,0.012131672886507516,0.022932260575608154,2023-01-03,2023-01-04,0.027219901940249886,1.0101701697019592,1.011257121090306,1.0064179687057608
2023-01-09,-0.002115110005236176,-0.0005670697129895874,2023-01-03,2023-01-04,0.014000660516620245,1.0080335486690315,1.0106836678048907,1.0205084850234367
2023-01-10,0.01359397297359577,0.007012738525199236,2023-01-03,2023-01-04,0.015086367234659948,1.021736729486116,1.0177713280988958,1.0359042507945868
2023-01-11,-0.00037599288602724323,0.012647940749531239,2023-01-03,2023-01-04,0.024920898405380715,1.0213525637444365,1.0306440395532623,1.0617199153863408
2023-01-12,0.014372834446615301,0.003640804732539138,2023-01-03,2023-01-04,0.01154530503904011,1.0360322950547614,1.0343964132500312,1.0739777956755001
2023-01-13,0.0009874386731739682,0.003879408030001752,2023-01-03,2023-01-04,0.013231876339865481,1.0370553134095557,1.0384092590017984,1.0881885370596398
2023-01-17,-0.0059131792156971175,-0.0018317533362395277,2023-01-03,2023-01-04,0.0031704335399205994,1.030923019484774,1.0365071493772398,1.0916385664952908
2023-01-18,-0.00864371960451188,-0.01578814980011012,2023-01-03,2023-01-04,-0.011318472204083866,1.0220120099705108,1.0201426192339869,1.079282885723508
2023-01-19,0.011765120720670708,-0.007279805520572058,2023-01-03,2023-01-04,-0.00419405186551286,1.0340361046457893,1.0127161793627164,1.0747563173232233
2023-01-20,0.011825205433033115,0.018629083584732697,2023-01-03,2023-01-04,0.039032828182201405,1.0462637940083992,1.0315821537156755,1.1167070959950363
2023-01-23,0.013991573971935067,0.011998623324991797,2023-01-03,2023-01-04,0.026340488219918523,1.0609026712764253,1.0439597194068937,1.1461217061021929
2023-01-24,-0.00045367044236971354,-0.0010731847476498357,2023-01-03,2023-01-04,-0.003761345390534465,1.060421371092236,1.0428393577588655,1.141810746505954
2023-01-25,-0.005728701609975573,0.00037465797545022106,2023-01-03,2023-01-04,-0.005918548721052482,1.0543465334764075,1.0432300658413631,1.1350528839725371
2023-01-26,0.020494638815329203,0.010990304206938584,2023-01-03,2023-01-04,0.026073671902354434,1.075954984866201,1.0546954816227843,1.1646478804610583
2023-01-27,0.015071433448531346,0.002297789780274284,2023-01-03,2023-01-04,0.02038534079787842,1.0921711688142275,1.0571189501217586,1.1883896244137837
2023-01-30,-0.015421197297700251,-0.012546761682151741,2023-01-03,2023-01-04,-0.028823011025975214,1.0753285817370832,1.0438555305848944,1.1541366571661507
2023-01-31,0.0064938901548634576,0.014703129028023287,2023-01-03,2023-01-04,0.017975043877253755,1.082311647427269,1.0592034731376998,1.1748823142190592
2023-02-01,0.013928996119389914,0.010628068432145588,2023-01-03,2023-01-04,0.02722216858639696,1.097387162164254,1.0704607601337734,1.2068651586459065
2023-02-02,0.11641199485453868,0.014556846816247804,2023-01-03,2023-01-04,0.08332206369198181,1.2251361908395557,1.086043293441845,1.3074236542622344
2023-02-03,-0.005933122241373323,-0.010629308499177093,2023-01-03,2023-01-04,-0.025154685363913815,1.2178673080569742,1.0744994042323892,1.2745358236019293
